Región,Comuna,Ubicación,Nombre,Horario,¿Qué recibe?,Info adicional,Mapa
RM,Las Condes,"1. Estadio Municipal: Paul Harris 701
2. Edificio Municipal: Apoquindo 3400",,"Sabado 3: 14-19hrs
Domingo 4: 9-19hrs
Lunes 5: 9-19hrs","Agua, bebidas isotónicas, kit de aseo (cepillos de dientes, jabon, shampoo, etc), mascarillas, guantes",@munilascondes,https://maps.app.goo.gl/v7mNuUPjHdqmCq5V8
RM,La Reina,Av. Fernando Castillo Velasco 8602,Dirección de Desarrollo Comunitario,Lunes a viernes de 10 a 13:30 y de 15 a 19 hrs. Sábado de 10 a 13:30 hrs.,"Agua, alimento para mascotas, útiles de aseo personal y para el hogar, pañales, materiales de construcción.",,https://maps.app.goo.gl/6cGMqV4c66fWHPpk6
RM,Lo Barnechea,Av. El Tranque 10300,Centro Cultural El Tranque,Domingo 4 de 11 a 20 hrs.,"Guantes, palas, carretillas, baldes, bloqueador, sacos. Cepillos/pastas de dientes, jabón, cremas, papel higiénico, pañales, toallas húmedas e higiénicas, toallas, ropa interior nueva, ropa de cama. Barras de cereal, leche en caja, agua, bebidas isotónicas.",NO se recibe ropa. @mlobarnechea,https://maps.app.goo.gl/hWPL4KxMcSTDK9MbA
RM ,,Raúl Labbé 13989,Dideco,Domingo 4 de 11 a 20 hrs.,"Guantes, palas, carretillas, baldes, bloqueador, sacos. Cepillos/pastas de dientes, jabón, cremas, papel higiénico, pañales, toallas húmedas e higiénicas, toallas, ropa interior nueva, ropa de cama. Barras de cereal, leche en caja, agua, bebidas isotónicas.",NO se recibe ropa. @mlobarnechea,https://maps.app.goo.gl/yGvbjj82D3kZkrwo7
RM,,Av. La Dehesa 2245,Colegio Médico de Santiago,8 a 22 hrs.,"Agua, toallas higiénicas, gotas para ojos, artículos de higiene, mascarillas KN95, alimentos no perecibles, alimentos para mascotas.",@colmedsantiago,https://maps.app.goo.gl/51FmHwUf1TvmBcDS8
RM,La Pintana,Aníbal Pinto 12952,Casa de la Cultura Municipalidad de la Pintana,"Sábado, domingo, y toda la semana de 10 a 20 hrs.","Agua, alimentos no perecibles y útiles de aseo.",,https://maps.app.goo.gl/wucu4G8JX1fSPHzp6
RM,La Florida,Enrique Olivares 1003,Estadio Bicentenario de La Florida,Sábado 16 a 21 hrs. Domingo y lunes 9 a 21 hrs. Martes 9 a 14 hrs.,"Agua, artículos de aseo personal, alimentos no perecibles, alimentos para mascotas sellados, ropa de cama.",@munilaflorida_,https://maps.app.goo.gl/1kdtHU3pYxhUvEKT6
RM,Maipú,Plaza de Maipú,Municipalidad de Maipú,Sabado 3 y domingo 4 de 12 a 20hrs,Agua embotellada y alimento para mascotas,@muni_maipu,https://maps.app.goo.gl/x8qE6eykb5M33EZt6
RM,,"Portales 418, Sede Maipú",Sede Partido Radical,Desde el domingo 4 hasta el 8 de febrero desde las 17 a 21 hrs.,"Alimentos no perecibles, leche, pañales, agua, artículos de aseo, comida para mascotas, artículos de hogar.",,https://maps.app.goo.gl/rMzYX54oWDPhqQuL8
RM,Ñuñoa,Av Humberto Trucco 123,Colegio República de Costa Rica,"Sabado 3 : 12-18hrs
Domingo 4: 10-18hrs","Alimentos no perecibles, agua embotellada, alimento para mascotas, protector solar (+30fps), utiles de aseo e higiene personal",NO ropa ni juguetes.,https://maps.app.goo.gl/rPWtmgAH31g8CXa66
